date,station,hour,passengers,passenger_count
2025-08-04,Kaloor,12:00,599,599
2025-08-04,Kaloor,13:00,161,161
2025-08-04,Kaloor,14:00,651,651
2025-08-04,Kaloor,15:00,566,566
2025-08-04,Kaloor,16:00,711,711
2025-08-04,Kaloor,17:00,296,296
2025-08-04,Kaloor,18:00,1512,1512
2025-08-04,Kaloor,19:00,1432,1432
2025-08-04,Kaloor,20:00,126,126
2025-08-04,Kaloor,21:00,700,700
2025-08-04,Kaloor,22:00,418,418
2025-08-04,Maharaja's,06:00,107,107
2025-08-04,Maharaja's,07:00,1126,1126
2025-08-04,Maharaja's,08:00,830,830
2025-08-04,Maharaja's,09:00,854,854
2025-08-04,Maharaja's,10:00,328,328
2025-08-04,Maharaja's,11:00,213,213
2025-08-04,Maharaja's,12:00,554,554
2025-08-04,Maharaja's,13:00,722,722
2025-08-04,Maharaja's,14:00,422,422
2025-08-04,Maharaja's,15:00,151,151
2025-08-04,Maharaja's,16:00,223,223
2025-08-04,Maharaja's,17:00,1504,1504
2025-08-04,Maharaja's,18:00,774,774
2025-08-04,Maharaja's,19:00,1392,1392
2025-08-04,Maharaja's,20:00,248,248
2025-08-04,Maharaja's,21:00,288,288
2025-08-04,Maharaja's,22:00,269,269
2025-08-04,Ernakulam South,06:00,500,500
2025-08-04,Ernakulam South,07:00,1386,1386
2025-08-04,Ernakulam South,08:00,998,998
2025-08-04,Ernakulam South,09:00,1474,1474
2025-08-04,Ernakulam South,10:00,106,106
2025-08-04,Ernakulam South,11:00,433,433
2025-08-04,Ernakulam South,12:00,560,560
2025-08-04,Ernakulam South,13:00,291,291
2025-08-04,Ernakulam South,14:00,133,133
2025-08-04,Ernakulam South,15:00,117,117
2025-08-04,Ernakulam South,16:00,549,549
2025-08-04,Ernakulam South,17:00,1116,1116
2025-08-04,Ernakulam South,18:00,1220,1220
2025-08-04,Ernakulam South,19:00,852,852
2025-08-04,Ernakulam South,20:00,612,612
2025-08-04,Ernakulam South,21:00,720,720
2025-08-04,Ernakulam South,22:00,703,703
2025-08-05,Aluva,06:00,509,509
2025-08-05,Aluva,07:00,1412,1412
2025-08-05,Aluva,08:00,678,678
2025-08-05,Aluva,09:00,656,656
2025-08-05,Aluva,10:00,158,158
2025-08-05,Aluva,11:00,533,533
2025-08-05,Aluva,12:00,355,355
2025-08-05,Aluva,13:00,557,557
2025-08-05,Aluva,14:00,633,633
2025-08-05,Aluva,15:00,320,320
2025-08-05,Aluva,16:00,127,127
2025-08-05,Aluva,17:00,946,946
2025-08-05,Aluva,18:00,824,824
2025-08-05,Aluva,19:00,488,488
2025-08-05,Aluva,20:00,434,434
2025-08-05,Aluva,21:00,168,168
2025-08-05,Aluva,22:00,385,385
2025-08-05,Kalamassery,06:00,501,501
2025-08-05,Kalamassery,07:00,934,934
2025-08-05,Kalamassery,08:00,460,460
2025-08-05,Kalamassery,09:00,1124,1124
2025-08-05,Kalamassery,10:00,574,574
2025-08-05,Kalamassery,11:00,169,169
2025-08-05,Kalamassery,12:00,131,131
2025-08-05,Kalamassery,13:00,673,673
2025-08-05,Kalamassery,14:00,660,660
2025-08-05,Kalamassery,15:00,707,707
2025-08-05,Kalamassery,16:00,742,742
2025-08-05,Kalamassery,17:00,572,572
2025-08-05,Kalamassery,18:00,1274,1274
2025-08-05,Kalamassery,19:00,794,794
2025-08-05,Kalamassery,20:00,197,197
2025-08-05,Kalamassery,21:00,343,343
2025-08-05,Kalamassery,22:00,699,699
2025-08-05,Edapally,06:00,799,799
2025-08-05,Edapally,07:00,1598,1598
2025-08-05,Edapally,08:00,694,694
2025-08-05,Edapally,09:00,926,926
2025-08-05,Edapally,10:00,434,434
2025-08-05,Edapally,11:00,258,258
2025-08-05,Edapally,12:00,773,773
2025-08-05,Edapally,13:00,618,618
2025-08-05,Edapally,14:00,581,581
2025-08-05,Edapally,15:00,660,660
2025-08-05,Edapally,16:00,531,531
2025-08-05,Edapally,17:00,824,824
2025-08-05,Edapally,18:00,1250,1250
2025-08-05,Edapally,19:00,936,936
2025-08-05,Edapally,20:00,239,239
2025-08-05,Edapally,21:00,728,728
2025-08-05,Edapally,22:00,282,282
2025-08-05,Kaloor,06:00,532,532
2025-08-05,Kaloor,07:00,404,404
2025-08-05,Kaloor,08:00,354,354
2025-08-05,Kaloor,09:00,526,526
2025-08-05,Kaloor,10:00,462,462
2025-08-05,Kaloor,11:00,470,470
2025-08-05,Kaloor,12:00,747,747
2025-08-05,Kaloor,13:00,505,505
2025-08-05,Kaloor,14:00,133,133
2025-08-05,Kaloor,15:00,758,758
2025-08-05,Kaloor,16:00,228,228
2025-08-05,Kaloor,17:00,1120,1120
2025-08-05,Kaloor,18:00,1020,1020
2025-08-05,Kaloor,19:00,308,308
2025-08-05,Kaloor,20:00,266,266
2025-08-05,Kaloor,21:00,644,644
2025-08-05,Kaloor,22:00,638,638
2025-08-05,Maharaja's,06:00,131,131
2025-08-05,Maharaja's,07:00,1488,1488
2025-08-05,Maharaja's,08:00,578,578
2025-08-05,Maharaja's,09:00,676,676
2025-08-05,Maharaja's,10:00,545,545
2025-08-05,Maharaja's,11:00,753,753
2025-08-05,Maharaja's,12:00,555,555
2025-08-05,Maharaja's,13:00,493,493
2025-08-05,Maharaja's,14:00,259,259
2025-08-05,Maharaja's,15:00,469,469
2025-08-05,Maharaja's,16:00,403,403
2025-08-05,Maharaja's,17:00,1270,1270
2025-08-05,Maharaja's,18:00,838,838
2025-08-05,Maharaja's,19:00,768,768
2025-08-05,Maharaja's,20:00,495,495
2025-08-05,Maharaja's,21:00,575,575
2025-08-05,Maharaja's,22:00,365,365
2025-08-05,Ernakulam South,06:00,447,447
2025-08-05,Ernakulam South,07:00,442,442
2025-08-05,Ernakulam South,08:00,762,762
2025-08-05,Ernakulam South,09:00,806,806
2025-08-05,Ernakulam South,10:00,788,788
2025-08-05,Ernakulam South,11:00,144,144
2025-08-05,Ernakulam South,12:00,143,143
2025-08-05,Ernakulam South,13:00,508,508
2025-08-05,Ernakulam South,14:00,694,694
2025-08-05,Ernakulam South,15:00,405,405
2025-08-05,Ernakulam South,16:00,110,110
2025-08-05,Ernakulam South,17:00,1508,1508
2025-08-05,Ernakulam South,18:00,1510,1510
2025-08-05,Ernakulam South,19:00,1162,1162
2025-08-05,Ernakulam South,20:00,721,721
2025-08-05,Ernakulam South,21:00,591,591
2025-08-05,Ernakulam South,22:00,486,486
2025-08-06,Aluva,06:00,491,491
2025-08-06,Aluva,07:00,670,670
2025-08-06,Aluva,08:00,1380,1380
2025-08-06,Aluva,09:00,1346,1346
2025-08-06,Aluva,10:00,700,700
2025-08-06,Aluva,11:00,366,366
2025-08-06,Aluva,12:00,476,476
2025-08-06,Aluva,13:00,684,684
2025-08-06,Aluva,14:00,686,686
2025-08-06,Aluva,15:00,221,221
2025-08-06,Aluva,16:00,257,257
2025-08-06,Aluva,17:00,578,578
2025-08-06,Aluva,18:00,434,434
2025-08-06,Aluva,19:00,472,472
2025-08-06,Aluva,20:00,550,550
2025-08-06,Aluva,21:00,441,441
2025-08-06,Aluva,22:00,725,725
2025-08-06,Kalamassery,06:00,703,703
2025-08-06,Kalamassery,07:00,458,458
2025-08-06,Kalamassery,08:00,982,982
2025-08-06,Kalamassery,09:00,1242,1242
2025-08-06,Kalamassery,10:00,353,353
2025-08-06,Kalamassery,11:00,540,540
2025-08-06,Kalamassery,12:00,329,329
2025-08-06,Kalamassery,13:00,210,210
2025-08-06,Kalamassery,14:00,537,537
2025-08-06,Kalamassery,15:00,505,505
2025-08-06,Kalamassery,16:00,531,531
2025-08-06,Kalamassery,17:00,654,654
2025-08-06,Kalamassery,18:00,274,274
2025-08-06,Kalamassery,19:00,1178,1178
2025-08-06,Kalamassery,20:00,387,387
2025-08-06,Kalamassery,21:00,429,429
2025-08-06,Kalamassery,22:00,311,311
2025-08-06,Edapally,06:00,501,501
2025-08-06,Edapally,07:00,782,782
2025-08-06,Edapally,08:00,294,294
2025-08-06,Edapally,09:00,778,778
2025-08-06,Edapally,10:00,459,459
2025-08-06,Edapally,11:00,250,250
2025-08-06,Edapally,12:00,778,778
2025-08-06,Edapally,13:00,388,388
2025-08-06,Edapally,14:00,545,545
2025-08-06,Edapally,15:00,521,521
2025-08-06,Edapally,16:00,450,450
2025-08-06,Edapally,17:00,1050,1050
2025-08-06,Edapally,18:00,898,898
2025-08-06,Edapally,19:00,740,740
2025-08-06,Edapally,20:00,180,180
2025-08-06,Edapally,21:00,752,752
2025-08-06,Edapally,22:00,647,647
2025-08-06,Kaloor,06:00,732,732
2025-08-06,Kaloor,07:00,610,610
2025-08-06,Kaloor,08:00,1436,1436
2025-08-06,Kaloor,09:00,360,360
2025-08-06,Kaloor,10:00,359,359
2025-08-06,Kaloor,11:00,177,177
2025-08-06,Kaloor,12:00,384,384
2025-08-06,Kaloor,13:00,684,684
2025-08-06,Kaloor,14:00,632,632
2025-08-06,Kaloor,15:00,704,704
2025-08-06,Kaloor,16:00,262,262
2025-08-06,Kaloor,17:00,850,850
2025-08-06,Kaloor,18:00,1462,1462
2025-08-06,Kaloor,19:00,1504,1504
2025-08-06,Kaloor,20:00,324,324
2025-08-06,Kaloor,21:00,211,211
2025-08-06,Kaloor,22:00,325,325
2025-08-06,Maharaja's,06:00,723,723
2025-08-06,Maharaja's,07:00,822,822
2025-08-06,Maharaja's,08:00,1514,1514
2025-08-06,Maharaja's,09:00,572,572
2025-08-06,Maharaja's,10:00,487,487
2025-08-06,Maharaja's,11:00,475,475
2025-08-06,Maharaja's,12:00,795,795
2025-08-06,Maharaja's,13:00,622,622
2025-08-06,Maharaja's,14:00,714,714
2025-08-06,Maharaja's,15:00,326,326
2025-08-06,Maharaja's,16:00,729,729
2025-08-06,Maharaja's,17:00,818,818
2025-08-06,Maharaja's,18:00,1448,1448
2025-08-06,Maharaja's,19:00,802,802
2025-08-06,Maharaja's,20:00,780,780
2025-08-06,Maharaja's,21:00,397,397
2025-08-06,Maharaja's,22:00,398,398
2025-08-06,Ernakulam South,06:00,356,356
2025-08-06,Ernakulam South,07:00,1326,1326
2025-08-06,Ernakulam South,08:00,578,578
2025-08-06,Ernakulam South,09:00,304,304
2025-08-06,Ernakulam South,10:00,334,334
2025-08-06,Ernakulam South,11:00,263,263
2025-08-06,Ernakulam South,12:00,289,289
2025-08-06,Ernakulam South,13:00,520,520
2025-08-06,Ernakulam South,14:00,631,631
2025-08-06,Ernakulam South,15:00,685,685
2025-08-06,Ernakulam South,16:00,410,410
2025-08-06,Ernakulam South,17:00,410,410
2025-08-06,Ernakulam South,18:00,1128,1128
2025-08-06,Ernakulam South,19:00,1324,1324
2025-08-06,Ernakulam South,20:00,298,298
2025-08-06,Ernakulam South,21:00,196,196
2025-08-06,Ernakulam South,22:00,477,477
2025-08-07,Aluva,06:00,505,505
2025-08-07,Aluva,07:00,422,422
2025-08-07,Aluva,08:00,916,916
2025-08-07,Aluva,09:00,446,446
2025-08-07,Aluva,10:00,316,316
2025-08-07,Aluva,11:00,792,792
2025-08-07,Aluva,12:00,296,296
2025-08-07,Aluva,13:00,568,568
2025-08-07,Aluva,14:00,607,607
2025-08-07,Aluva,15:00,470,470
2025-08-07,Aluva,16:00,401,401
2025-08-07,Aluva,17:00,992,992
2025-08-07,Aluva,18:00,876,876
2025-08-07,Aluva,19:00,262,262
2025-08-07,Aluva,20:00,346,346
2025-08-07,Aluva,21:00,714,714
2025-08-07,Aluva,22:00,241,241
2025-08-07,Kalamassery,06:00,406,406
2025-08-07,Kalamassery,07:00,748,748
2025-08-07,Kalamassery,08:00,818,818
2025-08-07,Kalamassery,09:00,202,202
2025-08-07,Kalamassery,10:00,595,595
2025-08-07,Kalamassery,11:00,769,769
2025-08-07,Kalamassery,12:00,369,369
2025-08-07,Kalamassery,13:00,338,338
2025-08-07,Kalamassery,14:00,155,155
2025-08-07,Kalamassery,15:00,501,501
2025-08-07,Kalamassery,16:00,670,670
2025-08-07,Kalamassery,17:00,218,218
2025-08-07,Kalamassery,18:00,1494,1494
2025-08-07,Kalamassery,19:00,1446,1446
2025-08-07,Kalamassery,20:00,562,562
2025-08-07,Kalamassery,21:00,553,553
2025-08-07,Kalamassery,22:00,374,374
2025-08-07,Edapally,06:00,604,604
2025-08-07,Edapally,07:00,716,716
